denomination;categorie;avant_montant;conv_montant;remu_montant
RECORDATI RARE DISEASES;Académies, Fondation, sociétés savantes, organismes de conseils;;4000;
Reddy Pharma SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;17160;
Regeneron Pharmaceuticals, Inc.;Association professionnel de santé;;;99469
Regeneron Pharmaceuticals, Inc.;Etablissement de santé;;390012;12500
Regeneron Pharmaceuticals, Inc.;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;2767611;1427224
RESMED SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;;900
RESMED SAS;Presse et média;;0;
Retrophin, Inc;Association professionnel de santé;;4050;
Retrophin, Inc;Etablissement de santé;;6000;
RNP SANTE;Association professionnel de santé;;1200;1200
ROCHE DIABETES CARE FRANCE;Association professionnel de santé;;333610;
ROCHE DIABETES CARE FRANCE;Association usager de santé;;5700;
ROCHE DIABETES CARE FRANCE;Etablissement de santé;;0;
ROCHE DIABETES CARE FRANCE;Presse et média;;177680;
ROCHE DIAGNOSTICS FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;;120777;90185
ROCHE DIAGNOSTICS FRANCE;Association professionnel de santé;;153929;224289
ROCHE DIAGNOSTICS FRANCE;Association usager de santé;;2000;
ROCHE DIAGNOSTICS FRANCE;Etablissement de santé;;1008765;1500
ROCHE DIAGNOSTICS FRANCE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;1900
ROCHE DIAGNOSTICS FRANCE;Presse et média;;24545;42781
Roche Diagnostics GmbH;Etablissement de santé;;;53000
Roche Diagnostics International Ltd;Association professionnel de santé;;40000;170345
Roche Diagnostics International Ltd;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;69000;69000
Roche Diagnostics Operations, Inc.;Etablissement de santé;;36782790;
S.A.M. SERELYS PHARMA;Académies, Fondation, sociétés savantes, organismes de conseils;;31498;
S.A.M. SERELYS PHARMA;Association professionnel de santé;;1200;
S.A.M. SERELYS PHARMA;Presse et média;;3953;
S.M.A.I.O SAS;Association professionnel de santé;;0;
SA;Professionnel de santé;;0;
SA Bristol-Myers Squibb Belgium;Académies, Fondation, sociétés savantes, organismes de conseils;;130222;
SA Bristol-Myers Squibb Belgium;Etablissement de santé;;34607706;1425421
SA Bristol-Myers Squibb Belgium;Professionnel de santé;;10662;6544
SA GOODLIFE PHARMA;Association professionnel de santé;;11800;
SA GOODLIFE PHARMA;Presse et média;;8470;
SAM TECHNI-PHARMA;Académies, Fondation, sociétés savantes, organismes de conseils;;10920;
SAM TECHNI-PHARMA;Association professionnel de santé;;20910;
Samsung Bioepis;Professionnel de santé;;750;750
SAMSUNG ELECTRONICS FRANCE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;15300;
SAMSUNG ELECTRONICS FRANCE;Presse et média;;134324;
SANDOZ;Etablissement de santé;;960;12992
SANDOZ;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;;2400
SANDOZ;Presse et média;;;122873
SANOFI-AVENTIS GROUPE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;176570
SANOFI-AVENTIS RECHERCHE & DEVELOPPEMENT;Presse et média;;0;14467
SANOFI CHIMIE;Académies, Fondation, sociétés savantes, organismes de conseils;;0;577150
SANOFI CHIMIE;Association professionnel de santé;;0;1034
SANOFI CHIMIE;Etablissement de santé;;;138600
SANOFI CHIMIE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;2520
SANOFI PASTEUR;Etablissement de santé;;0;780657
SANOFI WINTHROP INDUSTRIE;Académies, Fondation, sociétés savantes, organismes de conseils;;0;1047321
SANOFI WINTHROP INDUSTRIE;Professionnel de santé;;0;7189
SANTEO;Association professionnel de santé;;10550;
SANTEO;Etablissement de santé;;30000;
Santhera (Netherlands) B.V;Etablissement de santé;;1932;17968
SARL ORLEANS AUDIOPROTHESE;Professionnel de santé;;220;
SAS ALPHADIAB;Professionnel de santé;;0;
SAS BIMEDA FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;;;1152
SAS BIMEDA FRANCE;Presse et média;;0;7560
SATELEC SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;134947;
Scope International France;Etablissement de santé;;0;
Scope International France;Professionnel de santé;;0;
Seattle Genetics Inc;Académies, Fondation, sociétés savantes, organismes de conseils;;25560;28671
Seattle Genetics Inc;Association professionnel de santé;;;1221
Seattle Genetics Inc;Etablissement de santé;;25347;183946
Seattle Genetics Inc;Presse et média;;18900;24492
Sebia;Académies, Fondation, sociétés savantes, organismes de conseils;;19196;
Sebia;Association professionnel de santé;;74550;
Sebia;Etablissement de santé;;2500;
Second Sight Medical Products, Inc.;Etablissement de santé;;43320;54186
SEFAM;Académies, Fondation, sociétés savantes, organismes de conseils;;0;
SEFAM;Association professionnel de santé;;500;
SEPRODOM ANTILLES;Etudiant;;203;
SEPRODOM ANTILLES;Professionnel de santé;;4444;
Sequent Medical Inc.;Académies, Fondation, sociétés savantes, organismes de conseils;;;75641
Sequent Medical Inc.;Association professionnel de santé;;;16636
Sequent Medical Inc.;Etablissement de santé;;;6175
Sequent Medical Inc.;Professionnel de santé;;;42516
SERB;Académies, Fondation, sociétés savantes, organismes de conseils;;0;231842
SERB;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;6292;13332
SERB;Presse et média;;0;86843
SERENITY MEDICAL SERVICES SARL;Etablissement de santé;;0;
Serial Creative;Professionnel de santé;;59100;
SESC;Professionnel de santé;;15900;
seven dreamers laboratories;Professionnel de santé;;;1400
SHIRE France S.A.;Association professionnel de santé;;58288;2130832
SHIRE France S.A.;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;344719;1219970
SHIRE France S.A.;Presse et média;;13260;
SHIRE INTERNATIONAL;Association professionnel de santé;;0;71809
SHIRE INTERNATIONAL;Etablissement de santé;;0;
SIEMENS HEALTHCARE SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;0;51895
SIEMENS HEALTHCARE SAS;Association professionnel de santé;;39203;92118
SIEMENS HEALTHCARE SAS;Etablissement de santé;;98048;294739
SIEMENS HEALTHCARE SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;25250;3860
SIEMENS HEALTHCARE SAS;Presse et média;;95692;400608
SIGNATURE ORTHOPAEDICS FRANCE;Professionnel de santé;;0;7150
SIGVARIS;Association d'étudiants;;12950;
SIGVARIS;Association professionnel de santé;;68970;
SIGVARIS;Association usager de santé;;4297;
SIGVARIS;Etablissement de santé;;22400;333
SIGVARIS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;7000;
Simon-Kucher & Partners;Professionnel de santé;;183850;
Sinclair pharmaceuticals limited french branch;Association professionnel de santé;;10000;10000
Sinclair pharmaceuticals limited french branch;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;960;960
Sirius-Customizer;Professionnel de santé;;6403;
Smith & Nephew S.A.S.;Etablissement de santé;;0;
SMITHS MEDICAL FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;;38255;
SMITHS MEDICAL FRANCE;Association professionnel de santé;;2900;
SOCIETE D'ETUDES ET DE RECHERCHES PHARMACEUTIQUES;Association professionnel de santé;;21020;
SOCIETE D'ETUDES ET DE RECHERCHES PHARMACEUTIQUES;Etablissement de santé;;800;
SOCIETE D'ETUDES ET DE RECHERCHES PHARMACEUTIQUES;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;7128;
SOCIETE D'ETUDES ET DE RECHERCHES PHARMACEUTIQUES;Presse et média;;6803;
SOCIETE DE DIFFUSION DE MATERIEL OPTIQUE QUINIOU;Professionnel de santé;;280;
SOCIETE FRANCAISE DE COSMETIQUES;Académies, Fondation, sociétés savantes, organismes de conseils;;0;
Société Martiniquaise de l'Air Liquide;Professionnel de santé;;438;
Sociétés étrangères du groupe Novartis;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;2100;69250
SOS OXYGENE LORRAINE;Professionnel de santé;;0;
SOTHYS PARIS;Académies, Fondation, sociétés savantes, organismes de conseils;;0;
SOUN;Professionnel de santé;;5250;2200
Spark Therapeutics;Académies, Fondation, sociétés savantes, organismes de conseils;;;129600
Spark Therapeutics;Association usager de santé;;4695;4500
Spark Therapeutics;Etablissement de santé;;5000;4368
SPECTRANETICS FRANCE SARL;Académies, Fondation, sociétés savantes, organismes de conseils;;0;
Spectrum Dynamics Medical SA;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;7818;
SPINEART SA;Association professionnel de santé;;20360;
St Jude Medical France SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;0;
St Jude Medical France SAS;Association professionnel de santé;;0;
St Jude Medical France SAS;Etablissement de santé;;0;
STALLERGENES;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;10096
STALLERGENES;Presse et média;;0;81310
STENTYS S.A;Etablissement de santé;;0;1050
STETHOS;Professionnel de santé;;26510;
STRYKER FRANCE SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;0;
Stryker Trauma GmbH;Professionnel de santé;;;325747
substipharm;Association professionnel de santé;;0;
substipharm;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;1798
Sunesis Pharmaceuticals;Académies, Fondation, sociétés savantes, organismes de conseils;;2967;11910
Sunesis Pharmaceuticals;Etablissement de santé;;;2941
Sunesis Pharmaceuticals;Professionnel de santé;;2887;
SUNSTAR FRANCE;Association professionnel de santé;;134031;
SUNSTAR FRANCE;Association usager de santé;;4200;
SUNSTAR FRANCE;Presse et média;;96650;
SWEDISH ORPHAN BIOVITRUM;Association professionnel de santé;;3000;6800
SWEDISH ORPHAN BIOVITRUM;Etablissement de santé;;18330;18330
SWEDISH ORPHAN BIOVITRUM;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;7776;7776
SWEDISH ORPHAN BIOVITRUM AB (publ);Etablissement de santé;;0;12134
SWEDISH ORPHAN BIOVITRUM AB (publ);Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;
SYMATESE AESTHETICS;Etablissement de santé;;53315;
SYMATESE AESTHETICS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;;5640
SynteractHCR France S.A.S.;Etablissement de santé;;0;
Taiho Oncology;Etablissement de santé;;;60584
Taiho Oncology, Inc;Association professionnel de santé;;;6854
Taiho Oncology, Inc;Etablissement de santé;;;72478
Takeda Belgium;Professionnel de santé;;0;
TAKEDA DC LONDON;Association professionnel de santé;;0;11052
TAKEDA DC LONDON;Etablissement de santé;;0;29842
Takeda France;Association d'étudiants;;3000;
Takeda France;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;5500;11500
Takeda France;Presse et média;;13000;3000
Takeda International - UK Branch;Association professionnel de santé;;;44178
Takeda International - UK Branch;Etablissement de santé;;0;61861
Takeda International - UK Branch;Professionnel de santé;;0;2730
TBWA\ADELPHI;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;0;
TBWA\ADELPHI;Professionnel de santé;;0;
TEKNIMED;Professionnel de santé;;0;10400
TELEFLEX MEDICAL SAS;Groupement professionels agricoles;;0;
TEOXANE SA;Académies, Fondation, sociétés savantes, organismes de conseils;;0;591080
TERRE NEUVE;Professionnel de santé;;2520;
Terumo BCT Europe SA;Académies, Fondation, sociétés savantes, organismes de conseils;;1500;
Terumo BCT Europe SA;Association professionnel de santé;;1000;
TERUMO EUROPE NV;Etablissement de santé;;0;97975
Tesaro Bio France SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;288818;286096
Tesaro Bio France SAS;Association professionnel de santé;;46976;46376
Tesaro Bio France SAS;Presse et média;;38850;3060
TEVA SANTE SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;10300;10300
TEVA SANTE SAS;Association professionnel de santé;;22150;16850
TEVA SANTE SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;2500;2500
THE BINDING SITE GROUP LTD;Académies, Fondation, sociétés savantes, organismes de conseils;;1000;
THE BINDING SITE GROUP LTD;Presse et média;;25280;
The MarkeTech Group SARL;Professionnel de santé;;2200;
The Research Partnership;Professionnel de santé;;0;
The Spectranetics Corporation;Etablissement de santé;;;19121
The Spectranetics Corporation;Professionnel de santé;;;21655
THEA PHARMA;Etablissement de santé;;0;
THEA PHARMA;Presse et média;;0;108648
THERABEL LUCIEN PHARMA;Presse et média;;1444115;
THERMO FISHER DIAGNOSTICS;Académies, Fondation, sociétés savantes, organismes de conseils;;9400;
THERMO FISHER DIAGNOSTICS;Association professionnel de santé;;43036;
THERMO FISHER DIAGNOSTICS;Etablissement de santé;;37949;1000
THUASNE;Académies, Fondation, sociétés savantes, organismes de conseils;;62833;89493
THUASNE;Association professionnel de santé;;112750;66141
THUASNE;Association usager de santé;;1270;770
THUASNE;Etablissement de santé;;7670;20946
THUASNE;Groupement sanitaire;;2300;
THUASNE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;3000;3000
THUASNE;Presse et média;;2912;1592
TILLOTTS PHARMA AG;Presse et média;;;13916
Tillotts Pharma France SAS;Académies, Fondation, sociétés savantes, organismes de conseils;;420012;434589
Tillotts Pharma France SAS;Association professionnel de santé;;41140;65800
Tillotts Pharma France SAS;Etablissement de santé;;2400;4800
Tools4Patient S.A.;Etablissement de santé;;0;
TOP-Service für Lingualtechnik GmbH;Professionnel de santé;;;48938
Topcon SARL;Académies, Fondation, sociétés savantes, organismes de conseils;;98358;
TORNIER;Académies, Fondation, sociétés savantes, organismes de conseils;;59584;82758
TORNIER;Association professionnel de santé;;42621;78123
TORNIER;Etablissement de santé;;2874;4129
TORNIER;Personnes morales assurant la formation initiale ou continue des professionnels de santé;;61157;88164
TOSHIBA MEDICAL FRANCE;Etablissement de santé;;0;
Transgene SA;Académies, Fondation, sociétés savantes, organismes de conseils;;33215;480
